operating_cash_flow,investing_cash_flow,fixed_asset_expenditure,financing_cash_flow,cash_and_equivalents_beginning,fx_rate_effect_on_cash,cash_and_equivalents_changes,cash_and_equivalents_ending,ticker_code,year
2045235,939268,-1678767,-609332,262292,29654,,49082,AALI,2020
81445775208,-54694000000,-28057000000,-32124000000,19637000000,100000,-121600000,18421000000,ADVANC,2020
