cash_and_equivalents,account_receivables_third_party,account_receivables_related_party,total_current_assets,fixed_assets,total_non_current_assets,total_assets,total_current_liabilities,total_non_current_liabilities,total_equity,ticker_code,year
49082,295436,321188,4500628,10219013,22356339,26856967,3076530,4305915,19474522,AALI,2020
18421000000,17781189871,0,40570674698,0,3.08016E+11,3.50151E+11,1.05255E+11,1.1502E+11,69266000000,ADVANC,2020
