revenues,cost_of_goods_sold,gross_income,sales_expenses,sales_and_admin_expenses,depreciation_expenses,pretax_income,tax_expenses,after_tax_income_operational,after_tax_income_nonoperational,after_tax_income,comprehensive_income,income_per_share,ticker_code,year
19084387,15544881,3539506,427554,786046,2207080,-686357,1520723,,1520723,1672016,747.4,,AALI,2020
1.73E+11,1.11E+11,62042000000,10000000000,24499000000,50514000000,88057000000,10000000000,27434000000,0,27434000000,0,60,ADVANC,2020
