cash_and_equivalents,account_receivables_third_party,account_receivables_related_party,total_current_assets,fixed_assets,total_non_current_assets,total_assets,total_current_liabilities,total_non_current_liabilities,total_equity,ticker_code,year
262292,71302,476236,4245730,10152225,20689696,24935426,2309417,4089571,18536438,AALI,2019
19637000000,18297896427,0,42115000000,0,3.08016E+11,3.50151E+11,1.05255E+11,1.1502E+11,69266000000,ADVANC,2019
