operating_cash_flow,investing_cash_flow,fixed_asset_expenditure,financing_cash_flow,cash_and_equivalents_beginning,fx_rate_effect_on_cash,cash_and_equivalents_changes,cash_and_equivalents_ending,ticker_code,year
2841822,1038890,-1753504,-1361618,531583,4009,,262292,AALI,2019
72056751194,-26784000000,-27049006645,-39288000000,9067000000,100000,10570000000,19637000000,ADVANC,2019
