revenues,cost_of_goods_sold,gross_income,sales_expenses,sales_and_admin_expenses,depreciation_expenses,pretax_income,tax_expenses,after_tax_income_operational,after_tax_income_nonoperational,after_tax_income,comprehensive_income,income_per_share,ticker_code,year
17305688,13160438,4145250,337933,756418,2938505,-824876,2113629,,2113629,2064015,1044.5,,AALI,2019
1.80894E+11,1.10848E+11,62042000000,10000000000,24499000000,50514000000,88057000000,10000000000,27434000000,0,27434000000,0,60,ADVANC,2019
